,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.7991483321504613,0.8402800382340025,0.6426332288401254,0.5481283422459893,0.5916305916305916,0.46212030436999474
Decision Tree,0.7295954577714692,0.6611847373995712,0.4910941475826972,0.516042780748663,0.5032594524119948,0.317837059162082
kNN,0.7423704755145494,0.7603231806556615,0.5150684931506849,0.5026737967914439,0.5087956698240866,0.3342731388979892
Naive Bayes,0.7466288147622427,0.8201038518174067,0.5160075329566854,0.732620320855615,0.605524861878453,0.44130202275571984
Random Forest,0.7877927608232789,0.8246790152160995,0.629757785467128,0.48663101604278075,0.5490196078431373,0.4191114221195797
